35;Pza. del Carmen;40.41920833333333;-3.7031722222222223;4474524.28;440345.85
54;Ensanche de Vallecas;40.372933333333336;-3.6121166666666666;4469330.32;448035.10
47;Mendez Alvaro;40.398113888888886;-3.6868250000000002;4472171.90;441714.49
11;Avda. Ramón y Cajal;40.451475;-3.6773555555555553;4478088.77;442563.50
56;Pza. Fernández Ladreda;40.38496388888889;-3.718727777777778;4470733.79;438995.26
39;Barrio del Pilar;40.47822777777778;-3.7115416666666667;4481081.14;439688.60
36;Moratalaz;40.40794722222222;-3.6453055555555554;4473236.85;445245.92
4;Pza. de España;40.423852777777775;-3.7122472222222225;4475045.98;439580.11
57;Sanchinarro;40.49420833333333;-3.660502777777778;4482821.36;444028.04
60;Tres Olivos;40.50058888888889;-3.6897611111111113;4483548.58;441554.17
55;Urb. Embajada;40.46253055555556;-3.580747222222222;4479257.58;450763.55
27;Barajas Pueblo;40.47692777777778;-3.580030555555555;4480855.27;450834.81
59;Juan Carlos I;40.465250000000005;-3.6090722222222222;4479575.62;448364.19
17;Villaverde;40.34713888888889;-3.713322222222222;4466531.55;439420.23
48;Castellana;40.43989722222222;-3.690366666666667;4476812.18;441450.17
58;El Pardo;40.51805833333333;-3.774611111111111;4485547.40;434381.50
16;Arturo Soria;40.44004722222222;-3.6392333333333333;4476796.19;445786.93
49;Parque del Retiro;40.41444444444444;-3.682583333333333;4473981.80;442088.45
18;Farolillo;40.394780555555556;-3.7318527777777777;4471832.57;437890.24
24;Casa de Campo;40.419355555555555;-3.7473472222222224;4474571.38;436598.33
38;Cuatro Caminos;40.445544444444444;-3.707127777777778;4477450.27;440033.67
40;Vallecas;40.388152777777776;-3.6515222222222223;4471043.55;444702.24
8;Escuelas Aguirre;40.42156388888888;-3.6823194444444445;4474771.88;442116.94
50;Plaza Castilla;40.46557222222223;-3.6887694444444445;4479661.05;441607.86