id,name,latitude,longitude
35,Plaza del Carmen,40.41920833333333,-3.7031722222222223
54,Ensanche de Vallecas,40.372933333333336,-3.6121166666666666
47,Mendez Alvaro,40.398113888888886,-3.6868250000000002
11,Avda. Ramón y Cajal,40.451475,-3.6773555555555553
56,Pza. Fernández Ladreda,40.38496388888889,-3.718727777777778
39,Barrio del Pilar,40.47822777777778,-3.7115416666666667
36,Moratalaz,40.40794722222222,-3.6453055555555554
4,Plaza de España,40.423852777777775,-3.7122472222222225
57,Sanchinarro,40.49420833333333,-3.660502777777778
60,Tres Olivos,40.50058888888889,-3.6897611111111113
55,Urb. Embajada,40.46253055555556,-3.580747222222222
27,Barajas Pueblo,40.47692777777778,-3.580030555555555
59,Juan Carlos I,40.465250000000005,-3.6090722222222222
17,Villaverde,40.34713888888889,-3.713322222222222
48,Castellana,40.43989722222222,-3.690366666666667
58,El Pardo,40.51805833333333,-3.774611111111111
16,Arturo Soria,40.44004722222222,-3.6392333333333333
49,Parque del Retiro,40.41444444444444,-3.682583333333333
18,Farolillo,40.394780555555556,-3.7318527777777777
24,Casa de Campo,40.419355555555555,-3.7473472222222224
38,Cuatro Caminos,40.445544444444444,-3.707127777777778
40,Vallecas,40.388152777777776,-3.6515222222222223
8,Escuelas Aguirre,40.42156388888888,-3.6823194444444445
50,Plaza Castilla,40.46557222222223,-3.6887694444444445